都道府県ID,カテゴリID,スポット名
11,1,Yes!!自習室 | 北浦和店
11,1,クーカン自習室北浦和店
11,1,南浦和有料自習室
11,1,静かな自習室 東浦和店
11,1,Yes!!自習室 | 大宮西口店
11,1,南浦和駅前自習室
11,1,Yes!!自習室 | 岩槻店
11,1,上尾駅自習室
11,1,埼玉 朝霞台駅前自習室
11,1,Yes!!自習室 | 東大宮店
11,1,自習室リーベル志木
11,1,アイデスク蕨 自習室
11,1,越谷有料自習室
11,1,西川口有料自習室
11,1,所沢有料自習室
11,2,コワーキングスペース２４
11,2,コワーキングスペース7F
11,2,コワーキングスペース いいオフィスさいたま新都心 by さいたまスーパーアリーナTOIRO
11,2,窯茶業－業（コワーキングスペース、会議室、自習室）
11,2,コワーキングスペース２４ANNEX
11,2,coin space コインスペース イオン北浦和店
11,2,BIZcomfort大宮東口
11,2,relark 大宮ーサテライトオフィス・シェアオフィスー
11,2,BIZcomfort大宮西口
11,2,コワーキングスペース＋貸MEETING ROOM《ととのい＋》
11,2,オープンオフィス 大宮駅西口
11,2,coin space コインスペース 大宮マルイ店
11,2,大宮アントレサロン
11,2,STAYUP（ステイアップ）さいたま大宮
11,2,coin space コインスペース そごう大宮店
11,2,Hasuda Hub
11,2,シェアオフィス HATA-LARK (ハタラーク）
11,2,MYST（マイスタ）
11,2,PaO Work大宮（1時間426円〜・個室ワークスペース・即時予約可）
11,2,THE BRANCH
11,2,いいオフィス南越谷
11,2,BIZcomfort志木
11,2,コワーキングスペースMIRAI
11,2,BIZcomfort蕨
11,2,いいオフィス上尾 by TOKYO NORTH GATE（コワーキングスペース/会議室）
11,2,NESTo
11,2,コワーキングスペース チルワーク 戸田公園
11,2,BIZcomfort川口
11,2,Co-minca シェアオフィス&コワーキング
11,2,BIZcomfort春日部
11,2,コワーキングスペース TORINO'S
11,2,BIZcomfort所沢駅前
11,2,BIZcomfort和光市
11,2,働空間 西武秩父駅前オフィス
11,2,コワーキングスペース base Co+ villa 和光
11,2,ジョイステーション
11,2,coin space コインスペース イオンタウンふじみ野店
11,2,ココモガヤテック（コワーキングスペース）
11,2,coin space コインスペース 丸広百貨店上尾店
11,2,おしごとカフェAge

1,1,会員制自習室 Steady Study（ステディスタディ）札幌
1,1,テレビ塔ワンコイン自習室
1,1,まちなかプラザ自習スペース
1,2,BIZcomfort札幌
1,2,カエル・クリエイティブ・スクエア 18
1,2,札幌シェアオフィス BYYARD（札幌駅近くのレンタルオフィス兼コワーキングスペース）
1,2,さっぽろ大通コワーキングスペース ドリノキ
1,2,Creative Lounge SHARE （札幌駅近くのコワーキングスペース）
1,2,くしろフィス
1,2,木NINARU BLDG.
1,2,WorkingSpace KITEN
1,2,HATOBA Nishikimachi
1,2,es village
1,2,HOKKAIDO xStation01 地域事業インキュベーション・コワーキング施設
1,2,コワーキングスペースMILK
1,2,HAKOWORKS(ハコワークス)函館のコワーキングスペース
1,2,JOBUIE（コワーキング・レンタルオフィス）
1,2,bokashi Base（ぼかしベース）｜コワーキングスペース＆レンタルスペース
1,2,苫小牧駅から徒歩10分まちなかコワーキングスペースTBASE
1,2,COCOスペース西岡
1,2,MIRAI BASE
1,2,さっぽろRオフィス大通
1,2,大樹町無人コワーキングスペース Bizコンセント24
1,2,Blaise(ブレイズ) フィットネス コワーキング 札幌白石区
1,2,ワーケーションオフィスENGARU
1,2,コワーキングスペース THE STAY SAPPORO ANNEX
1,2,Worcu-pet ワークーぺ（コワーキングスペース／会議室）
1,2,コワーキングスペースゆったりーな湯川

4,1,仙台駅前自習室EAST（イースト）
4,1,長町の自習室『ながスタ』
4,1,自習室マイデスク
4,2,enspace
4,2,BIZcomfort仙台一番町
4,2,ソシラボ
4,2,バーチャル・シェアオフィス コワーキングスペース ステージライン仙台駅前
4,2,コワーキングスペースＳyu
4,2,BIZcomfort仙台クリスロード
4,2,STUDIO 080
4,2,INTILAQ 東北イノベーションセンター
4,2,コワーキングスペースひと'sCrew
4,2,IRORI石巻
4,2,みやぎ川崎SPRING
4,2,エスパシオ 仙台 コワーキングスペース/レンタル会議室
4,2,SHARE LOUNGE 多賀城

15,1,万代自習室
15,1,会員制自習室 OWN DESK NIIGATA
15,1,Crossing本町
15,1,直江津駅自習室
15,2,コワーキング新潟弁天
15,2,ハブステーションケント
15,2,コワーキングスペース・レンタルオフィス DOORS（ドアーズ）
15,2,MOYORe:(モヨリ)
15,2,K.Vivo 柏崎コワーキングスペース
15,2,SADO PORT LOUNGE シェアオフィス・コワーキングスペース
15,2,Nomad Kitchen ＆ Coliving（ノマドキッチン＆コリビング）
15,2,コワーキング＆シェアスペース【ゆるり屋】
15,2,リゾートオフィスエンゼル越後湯沢だんろの家
15,2,コワーキングスペースco-ba niigata
15,2,新潟市コワーキングスペース・ギフト
15,2,エンジョイライフクラブ コワーキングスペース
15,2,コワーキングスペース しごと場 灯台-Toudai-
15,2,bibit
15,2,いいオフィス燕三条 ｂｙイチコン
15,2,コワーキングスペース＆カフェ・フルサットアップス
15,2,assemble長岡
15,2,NESTｰONE
15,2,コワーキングスペース Ｃｏｄｅ ｆｏｒ
15,2,コワーキングスペース Co・アルワ
15,2,アオウゼベース
15,2,SOUQ越後湯沢
15,2,MYOKO BASE CAMP

22,1,スタディグレイス 会員制有料自習室２号館
22,2,コワーキングスペースCOBACCO
22,2,モディコワーキングスペース
22,2,飲食持ち込みspace.ibasho（コワーキングスペース）
22,2,コワーキングスペース フジキチ
22,2,いちぼし堂
